Account Name,PTB Score,Segment,RVP,AE,City,State,Sub-Sector,Lat,Lon,AE_Layer
630 CHED Santas Anonymous,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
ACCT Foundation,5,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Ag for Life,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Alberta Children's Hospital Foundation,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Alberta Grains,3,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Alberta Health Services Board,3,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Membership Organizations,53.5462055,-113.491241,Mid-Market
"Alberta Union of Provincial Employees, The",3,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Alberta Urban Athletics Association,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Association of Fundraising Professionals Edmonton & Area Chapter,3,MM,Lisa Crow,Nikki Kandhari,Spruce Grove,AB,Associations and Unions,53.545204,-113.903503,Mid-Market
Boys & Girls Club of Edmonton,5,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Boys and Girls Club Lethbridge,3,MM,Lisa Crow,Karine Duval,Lethbridge,AB,Associations and Unions,49.6945782,-112.8331033,Mid-Market
Business Link,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Canadian Athletic Therapists Association,1,MM,SARAH ANDREWS,Helen Lynch,Calgary,AB,Membership Organizations,51.0456064,-114.057541,
CommunityWise Resource Centre,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
ERA,1,MM,Lisa Crow,Nikki Kandhari,,AB,Associations and Unions,,,Mid-Market
Empowered Futures,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
EndPovertyEdmonton,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Faith Beyond Belief,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Falun Dafa Association of Edmonton,3,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Give A Mile,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Global Calling Services,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Great+Divide+Trail+Association,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Health City Edmonton,1,MM,Lisa Crow,Nikki Kandhari,,AB,Membership Organizations,,,Mid-Market
Help From Canada,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Heritage Crowsnest,1,MM,Lisa Crow,Nikki Kandhari,Coleman,AB,Membership Organizations,49.6377084,-114.4964358,Mid-Market
Islamic social services association,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Made by Momma,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Mahogany Homeowners Association,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Movement51,4,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Neighbourlink Calgary,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
No Ordinary Journey Foundation,3,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Northside Friends Church Fellowship,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
PROVIDING AVENUES TO HOPE SOCIETY,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Ponoka Ag Event Center Society,1,MM,Lisa Crow,Nikki Kandhari,Ponoka,AB,Associations and Unions,52.6794142,-113.5871706,Mid-Market
Ponoka Ag Event Centre Society,1,MM,Lisa Crow,Nikki Kandhari,Ponoka,AB,Associations and Unions,52.6794142,-113.5871706,Mid-Market
Public Petroleum Data Modeling Association (PPDM),1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
REALTORS Community Foundation,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
RRROCA,1,MM,Lisa Crow,Nikki Kandhari,,AB,Associations and Unions,,,Mid-Market
Realize Your Potential Youth Society,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Red Deer Inline Hockey Association,1,MM,Lisa Crow,Nikki Kandhari,Red Deer,AB,Associations and Unions,52.2690628,-113.8141464,Mid-Market
Ronald McDonald House of Northern Alberta,3,MM,Lisa Crow,Quinn Farrell,Edmonton,AB,Membership Organizations,53.5462055,-113.491241,Mid-Market
S.A.M. Ministries Inc,4,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Southern Alberta Community Living Association,1,MM,Lisa Crow,Nikki Kandhari,Lethbridge,AB,Membership Organizations,49.6945782,-112.8331033,Mid-Market
Sport Medicine Council of Alberta,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Membership Organizations,53.5462055,-113.491241,Mid-Market
Sustainable Food Edmonton,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
The Sheet Metal Contractors Association of Alberta,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
The YYC Data Society,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Transformaton Textiles,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Trellis Society for Community Impact,3,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Tribe of Lambs Organization,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Trickster Theatre Society,3,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Trinity Place Foundation of Alberta,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Veterans Services Society,3,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
WBEA,1,MM,Lisa Crow,Nikki Kandhari,Fort Mcmurray,AB,Associations and Unions,56.7291997,-111.3885221,Mid-Market
Western Rocky View Communities Development Society,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Young Leaders World Foundation,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
the deenSTRONG Foundation,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Alaska Council of School Administrators,5,MM,Bryan Rees,Colleen Gainey,Juneau,AK,Membership Organizations,58.3019496,-134.419734,Mid-Market
Alaska Island Community Services,1,MM,Bryan Rees,Colleen Gainey,Wrangell,AK,Membership Organizations,56.4706022,-132.3829431,Mid-Market
Association for the Education of Young Children,1,ESB,Mark Baxter,Mel Sanchez,Juneau,AK,Associations and Unions,58.3019496,-134.419734,Small Business
Camp Fire Alaska,2,MM,Bryan Rees,Colleen Gainey,Anchorage,AK,Membership Organizations,61.2163129,-149.894852,Mid-Market
Choices Inc,1,GRB,Salma Ferdowsi,Kayla DeSouza,Anchorage,AK,Associations and Unions,61.2163129,-149.894852,Small Business
Girl Scouts of Alaska,1,ENTR,Tricia Lane,William Hranchak,Anchorage,AK,Membership Organizations,61.2163129,-149.894852,Enterprise
SOUTH PENINSULA BEHAVIORAL HEALTH SERVICES INC,1,GRB,Salma Ferdowsi,Kayla DeSouza,Homer,AK,Associations and Unions,59.6454064,-151.5445643,Small Business
AHERO,1,ESB,Myron Bryant,Damian Broomes,Shorter,AL,Associations and Unions,32.3948615,-85.916902,Small Business
AMERICAN SOCIETY FOR REPRODUCTIVE MEDICINE,5,GRB,Cisco Torres,Kelly Quarles,Vestavia,AL,Associations and Unions,33.4487989,-86.7879492,Small Business
Alabama Veteran,5,ESB,Myron Bryant,Damian Broomes,Birmingham,AL,Associations and Unions,33.5206824,-86.8024326,Small Business
"Boy Scouts Troop 400 Huntsville, Alabama",1,GRB,Cisco Torres,Kelly Quarles,Huntsville,AL,Membership Organizations,34.729847,-86.5859011,Small Business
Boy Scouts of America-Alabama-Florida Council,1,GRB,Cisco Torres,Kelly Quarles,Dothan,AL,Membership Organizations,31.2237285,-85.3934375,Small Business
"Camp Fire Usa, Central Alabama Council",3,ESB,Myron Bryant,Damian Broomes,Birmingham,AL,Membership Organizations,33.5206824,-86.8024326,Small Business
Civil Air Patrol,3,MM,Bryan Rees,Taylor Hernandez,Maxwell Afb,AL,Membership Organizations,32.3818479,-86.3533076,Mid-Market
Common Ground Montgomery,3,GRB,Cisco Torres,Kelly Quarles,Montgomery,AL,Membership Organizations,32.37742,-86.3091683,Small Business
